('valid', 1.0)
('unique@1000', 0.917)
('unique@10000', 0.8768)
('FCD/Test', 21.019258992415097)
('SNN/Test', 0.27212028554524953)
('Frag/Test', 0.7818359251255413)
('Scaf/Test', 0.465833780709348)
('FCD/TestSF', 22.415314666411064)
('SNN/TestSF', 0.2566115863764184)
('Frag/TestSF', 0.7688130825763346)
('Scaf/TestSF', 0.09442567487132147)
('IntDiv', 0.9349701531666105)
('IntDiv2', 0.9175534805034373)
('Filters', 0.48462992787619913)
('logP', 0.695753274471401)
('SA', 1.690960937735857)
('QED', 0.30872678885051286)
('weight', 113.19980513678392)
('Novelty', 0.9989232616888226)
