('valid', 1.0)
('unique@1000', 0.924)
('unique@10000', 0.8799)
('FCD/Test', 23.067588794342086)
('SNN/Test', 0.26014716583313463)
('Frag/Test', 0.7186650923610945)
('Scaf/Test', 0.42632363219138014)
('FCD/TestSF', 24.502431804498528)
('SNN/TestSF', 0.2451999277021422)
('Frag/TestSF', 0.7051904796933027)
('Scaf/TestSF', 0.05309284949065274)
('IntDiv', 0.9363187747036816)
('IntDiv2', 0.9182218222202608)
('Filters', 0.4650498783883817)
('logP', 0.8031429966115278)
('SA', 1.77256057655489)
('QED', 0.32037979034196284)
('weight', 113.7783189803456)
('Novelty', 0.9990412671946645)
